Index,phase,distance_node_4,distance_node_7,Time_4_1,Time_4_2,Time_4_3,Time_7_1,Time_7_2,Time_7_3
3930,3,29058,9058,0.01027325,0.01009385,0.01008815,0.0100275,0.0100275,0.010027475
3931,3,29065,9065,0.010273275,0.010093825,0.01008815,0.0100275,0.0100275,0.0100275
3932,3,29072,9072,0.0102733,0.0100938,0.010088175,0.010027525,0.010027525,0.010027525
3933,3,29079,9079,0.0102733,0.0100938,0.0100882,0.01002755,0.01002755,0.01002755
3934,3,29086,9086,0.010273325,0.010093775,0.010088225,0.010027575,0.010027575,0.010027575
3935,3,29093,9093,0.01027335,0.01009375,0.01008825,0.0100276,0.0100276,0.0100276
3936,3,29100,9100,0.010273375,0.010093725,0.010088275,0.010027625,0.010027625,0.010027625
3937,3,29107,9107,0.0102734,0.0100937,0.0100883,0.010027625,0.010027625,0.010027625
3938,3,29114,9114,0.010273425,0.010093675,0.0100883,0.01002765,0.01002765,0.01002765
3939,3,29121,9121,0.010273425,0.01009365,0.010088325,0.010027675,0.010027675,0.010027675
3940,3,29123,9123,0.010273425,0.010273425,0.01008835,0.010027675,0.010027675,0.010027675
3941,3,29128,9128,0.01027345,0.01009365,0.01008835,0.0100277,0.0100277,0.0100277
3942,3,29135,9135,0.010273475,0.010093625,0.010088375,0.010027725,0.010027725,0.010027725
3943,3,29142,9142,0.0102735,0.0100936,0.0100884,0.01002775,0.01002775,0.01002775
3944,3,29149,9149,0.010273525,0.010093575,0.010088425,0.010027775,0.010027775,0.010027775
3945,3,29156,9156,0.01027355,0.01009355,0.010088425,0.010027775,0.010027775,0.010027775
3946,3,20915,915,0.0,0.0,0.01006345,0.0100028,0.0100028,0.0100028
3947,3,29163,9163,0.010273575,0.010093525,0.01008845,0.0100278,0.0100278,0.0100278
3948,3,29169,9169,0.0,0.0,0.010088475,0.010027825,0.010027825,0.010027825
3949,3,29170,9170,0.010273575,0.0100935,0.010088475,0.010027825,0.010027825,0.010027825
3950,3,29176,9176,0.0102736,0.0100935,0.0100885,0.01002785,0.01002785,0.01002785
3951,3,29177,9177,0.0102736,0.0100935,0.0100885,0.01002785,0.01002785,0.01002785
3952,3,29184,9184,0.010273625,0.010093475,0.010088525,0.010027875,0.010027875,0.010027875
3953,3,29188,9188,0.010252575,0.010093475,0.010088525,0.010027875,0.010027875,0.010027875
3954,3,29191,9191,0.01027365,0.01009345,0.01008855,0.0100279,0.0100279,0.0100279
3955,3,29198,9198,0.010273675,0.010093425,0.010088575,0.010027925,0.010027925,0.0100279
3956,3,29205,9205,0.0102737,0.0100934,0.010088575,0.010027925,0.010027925,0.010027925
3957,3,29212,9212,0.0102737,0.010093375,0.0100886,0.01002795,0.01002795,0.01002795
3958,3,29219,9219,0.010273725,0.010093375,0.010088625,0.010027975,0.010027975,0.010027975
3959,3,29226,9226,0.01027375,0.01009335,0.01008865,0.010028,0.010028,0.010028
3960,3,29233,9233,0.010273775,0.010093325,0.010088675,0.010028025,0.010028025,0.010028025
3961,3,29240,9240,0.0102738,0.0100933,0.0100887,0.01002805,0.01002805,0.01002805
3962,3,29247,9247,0.010273825,0.010093275,0.0100887,0.01002805,0.01002805,0.01002805
3963,3,29254,9254,0.010273825,0.01009325,0.010088725,0.010028075,0.010028075,0.010028075
3964,3,29261,9261,0.01027385,0.010093225,0.01008875,0.0100281,0.0100281,0.0100281
3965,3,29267,9267,0.010273875,0.010093225,0.010088775,0.010028125,0.010028125,0.010028125
3966,3,29268,9268,0.010273875,0.010093225,0.010088775,0.010028125,0.010028125,0.010028125
3967,3,29275,9275,0.0102739,0.0100932,0.0100888,0.01002815,0.01002815,0.01002815
3968,3,29282,9282,0.010273925,0.010093175,0.010088825,0.010028175,0.010028175,0.010028175
3969,3,29289,9289,0.01027395,0.01009315,0.01008885,0.0100282,0.0100282,0.0100282
3970,3,29296,9296,0.010273975,0.010093125,0.01008885,0.0100282,0.0100282,0.0100282
3971,3,29303,9303,0.010273975,0.0100931,0.010088875,0.010028225,0.010028225,0.010028225
3972,3,29310,9310,0.010274,0.010093075,0.0100889,0.01002825,0.01002825,0.01002825
3973,3,29313,9313,0.0,0.0100931,0.010088925,0.010028275,0.010028275,0.010028275
3974,3,29317,9317,0.010274025,0.010093075,0.010088925,0.010028275,0.010028275,0.010028275
3975,3,29320,9320,0.010274025,0.01009305,0.010088925,0.010028275,0.010028275,0.010028275
3976,3,29324,9324,0.01027405,0.01009305,0.01008895,0.0100283,0.0100283,0.0100283
3977,3,29331,9331,0.010274075,0.010093025,0.010088975,0.010028325,0.010028325,0.010028325
3978,3,29332,9332,0.01027405,0.010093025,0.010088975,0.010028325,0.010028325,0.010028325
3979,3,29338,9338,0.0102741,0.010093,0.010089,0.010028325,0.010028325,0.010028325
3980,3,29345,9345,0.0,0.0,0.0,0.0,0.0,0.0
3981,3,29411,9411,0.0102743,0.0102743,0.0100892,0.01002855,0.01002855,0.01002855
3982,3,29457,9457,0.0,0.0,0.01008935,0.0100287,0.0100287,0.0100287
3983,3,29464,9464,0.010274475,0.010092625,0.010089375,0.010028725,0.010028725,0.010028725
3984,3,29476,9476,0.0102745,0.0102745,0.0100894,0.01002875,0.01002875,0.01002875
3985,3,29555,9555,0.010271725,0.01009235,0.01008965,0.010029,0.010029,0.010029
3986,3,29601,9601,0.0,0.0,0.0100898,0.01002915,0.01002915,0.010029125
3987,3,29608,9608,0.0101843,0.010092175,0.0100898,0.01002915,0.01002915,0.01002915
3988,3,20961,961,0.0,0.0,0.0100636,0.010002925,0.010002925,0.010002925
3989,3,29620,9620,0.010271925,0.01009215,0.01008985,0.0100292,0.0100292,0.0100292
