phase,distance_node_4,distance_node_7,Time_4_1,Time_4_2,Time_4_3,Time_7_1,Time_7_2,Time_7_3
3,10733,29267,0.01003255,0.01003255,0.01003255,0.010182175,0.010093225,0.010088775
3,17345,22655,0.0100526,0.0100526,0.0100526,0.010129925,0.010190375,0.010068725
3,17357,22643,0.01005265,0.01005265,0.01005265,0.01045035,0.0,0.010068675
3,17436,22564,0.0100529,0.0100529,0.010052875,0.010449875,0.0,0.01006845
3,17482,22518,0.01005305,0.01005305,0.010053025,0.0,0.0,0.0100683
3,17489,22511,0.01005305,0.01005305,0.010053025,0.0101295,0.01018995,0.010068275
3,17501,22499,0.0100531,0.0100531,0.010053075,0.010449475,0.0,0.01006825
3,17580,22420,0.010053325,0.010053325,0.010053325,0.010449,0.010170025,0.010068
3,17626,22374,0.010053475,0.010053475,0.010053475,0.0,0.0,0.010067875
3,17633,22367,0.010053475,0.010053475,0.010053475,0.0101291,0.010189525,0.01006785
3,17645,22355,0.010053525,0.010053525,0.010053525,0.0104486,0.010170425,0.0100678
3,17724,22276,0.010053775,0.010053775,0.01005375,0.010448125,0.0101709,0.010067575
3,17770,22230,0.010053925,0.010053925,0.0100539,0.0,0.0,0.010067425
3,17777,22223,0.010053925,0.010053925,0.0100539,0.01025255,0.01025255,0.0100674
3,17789,22211,0.010053975,0.010053975,0.01005395,0.010447725,0.0101713,0.010067375
3,17868,22132,0.0100542,0.0100542,0.0100542,0.01044725,0.0101718,0.010067125
3,17914,22086,0.01005435,0.01005435,0.01005435,0.0,0.0,0.010067
3,17921,22079,0.01005435,0.01005435,0.01005435,0.0102521,0.0101887,0.010066975
3,17933,22067,0.0100544,0.0100544,0.0100544,0.01044685,0.0101722,0.010066925
3,18012,21988,0.01005465,0.01005465,0.010054625,0.010446375,0.0,0.0100667
3,18058,21942,0.0100548,0.0100548,0.010054775,0.0,0.0,0.010066575
3,18065,21935,0.0100548,0.0100548,0.010054775,0.0102402,0.0102402,0.010066525
3,18077,21923,0.010054825,0.010054825,0.010054825,0.0,0.0,0.0100665
3,10812,29188,0.0100328,0.0100328,0.0100328,0.010252575,0.0102526,0.010088525
3,18156,21844,0.010055075,0.010055075,0.010055075,0.0,0.0,0.01006625
3,18202,21798,0.010055225,0.010055225,0.010055225,0.0,0.0,0.010066125
3,18209,21791,0.010055225,0.010055225,0.010055225,0.0104453,0.01017395,0.0100661
3,18221,21779,0.010055275,0.010055275,0.010055275,0.0,0.0,0.010066075
3,18300,21700,0.010055525,0.010055525,0.0100555,0.0,0.0,0.010065825
3,18346,21654,0.01005565,0.01005565,0.01005565,0.0,0.0,0.0100657
3,18353,21647,0.01005565,0.01005565,0.01005565,0.0102508,0.0101748,0.01006565
3,18365,21635,0.0100557,0.0100557,0.0100557,0.0,0.0,0.010065625
3,18444,21556,0.01005595,0.01005595,0.01005595,0.0,0.0,0.010065375
3,18490,21510,0.0100561,0.0100561,0.0100561,0.0,0.0,0.01006525
3,18497,21503,0.0100561,0.0100561,0.0100561,0.010241525,0.0101757,0.010065225
3,18509,21491,0.01005615,0.01005615,0.010056125,0.0,0.0,0.0100652
3,18588,21412,0.010056375,0.010056375,0.010056375,0.0,0.0,0.01006495
3,10858,29142,0.01003295,0.01003295,0.01003295,0.0,0.0,0.0100884
3,18634,21366,0.010056525,0.010056525,0.010056525,0.0,0.0,0.010064825
3,18641,21359,0.010056525,0.010056525,0.010056525,0.010249925,0.0101766,0.010064775
3,18653,21347,0.010056575,0.010056575,0.010056575,0.0,0.0,0.01006475
3,10865,29135,0.01003295,0.01003295,0.01003295,0.010181375,0.010093625,0.010088375
3,18732,21268,0.010056825,0.010056825,0.0100568,0.0,0.0,0.010064525
3,18778,21222,0.010056975,0.010056975,0.010056975,0.0,0.0,0.010064375
3,10877,29123,0.010033,0.010033,0.010033,0.010181275,0.010181275,0.01008835
3,18785,21215,0.010056975,0.010056975,0.010056975,0.0102495,0.0101775,0.01006435
3,18797,21203,0.010057025,0.010057025,0.010057,0.0,0.0,0.010064325
3,18876,21124,0.01005725,0.01005725,0.01005725,0.0,0.0,0.010064075
3,18922,21078,0.0100574,0.0100574,0.0100574,0.0,0.0,0.01006395
3,18929,21071,0.0100574,0.0100574,0.0100574,0.01024905,0.01024905,0.010063925
3,18941,21059,0.01005745,0.01005745,0.01005745,0.0,0.0,0.010063875
3,19020,20980,0.0100577,0.0100577,0.010057675,0.0,0.0,0.01006365
3,19066,20934,0.01005785,0.01005785,0.010057825,0.0,0.0,0.0100635
3,19073,20927,0.01005785,0.01005785,0.01005785,0.01017935,0.01017935,0.010063475
3,19085,20915,0.0100579,0.0100579,0.010057875,0.0,0.0101794,0.01006345
3,19164,20836,0.010058125,0.010058125,0.010058125,0.0,0.0,0.0100632
3,19210,20790,0.010058275,0.010058275,0.010058275,0.0,0.0,0.010063075
3,19217,20783,0.010058275,0.010058275,0.010058275,0.010248175,0.010248175,0.01006305
3,19229,20771,0.010058325,0.010058325,0.010058325,0.0,0.0,0.010063
3,10092,29908,0.010030625,0.010030625,0.0100306,0.01018615,0.01018615,0.010090725
3,19308,20692,0.010058575,0.010058575,0.01005855,0.0,0.0,0.010062775
3,19354,20646,0.010058725,0.010058725,0.0100587,0.0,0.0,0.010062625
3,19361,20639,0.010058725,0.010058725,0.0100587,0.01024775,0.01024775,0.0100626
3,19373,20627,0.010058775,0.010058775,0.01005875,0.0,0.0,0.010062575
3,19452,20548,0.010059,0.010059,0.010059,0.0,0.0,0.010062325
3,19498,20502,0.01005915,0.01005915,0.01005915,0.0,0.0,0.0100622
3,19505,20495,0.01005915,0.01005915,0.01005915,0.010247325,0.010247325,0.010062175
3,19517,20483,0.0100592,0.0100592,0.0100592,0.0,0.010247275,0.010062125
3,10956,29044,0.01003325,0.01003325,0.010033225,0.01025345,0.0100939,0.0100881
3,19596,20404,0.01005945,0.01005945,0.010059425,0.01018335,0.0,0.0100619
3,19642,20358,0.0100596,0.0100596,0.010059575,0.0,0.0,0.01006175
3,19649,20351,0.0100596,0.0100596,0.010059575,0.010247,0.010247,0.010061725
3,19661,20339,0.01005965,0.01005965,0.010059625,0.0,0.0,0.0100617
3,19740,20260,0.010059875,0.010059875,0.010059875,0.0,0.0,0.01006145
3,19786,20214,0.010060025,0.010060025,0.010060025,0.0,0.0,0.010061325
3,19793,20207,0.010060025,0.010060025,0.010060025,0.0,0.0,0.0100613
3,19805,20195,0.010060075,0.010060075,0.010060075,0.0,0.0,0.01006125
3,19884,20116,0.010060325,0.010060325,0.0100603,0.0,0.0,0.010061025
3,19930,20070,0.010060475,0.010060475,0.01006045,0.0,0.0,0.010060875
3,19937,20063,0.010060475,0.010060475,0.01006045,0.0,0.0,0.01006085
3,19949,20051,0.010060525,0.010060525,0.0100605,0.0,0.0,0.010060825
3,20104,104,0.0,0.0,0.010060975,0.010000325,0.010000325,0.010000325
3,21059,1059,0.0,0.0,0.010063875,0.010003225,0.010003225,0.010003225
3,21105,1105,0.0,0.0,0.010064025,0.010003375,0.010003375,0.010003375
3,21112,1112,0.010441175,0.010178125,0.01006405,0.010003375,0.010003375,0.010003375
3,21124,1124,0.0,0.0,0.010064075,0.010003425,0.010003425,0.010003425
3,20116,116,0.0,0.0,0.010061025,0.010000375,0.010000375,0.010000375
3,21203,1203,0.0,0.0,0.010064325,0.010003675,0.010003675,0.010003675
3,21249,1249,0.0,0.0,0.01006445,0.0100038,0.0100038,0.0100038
3,21256,1256,0.01044205,0.010177225,0.010064475,0.010003825,0.010003825,0.010003825
3,21268,1268,0.0,0.0,0.010064525,0.01000385,0.01000385,0.01000385
3,21347,1347,0.0,0.0,0.01006475,0.0100041,0.0100041,0.0100041
3,21393,1393,0.0,0.0,0.0100649,0.01000425,0.01000425,0.01000425
3,21400,1400,0.010442925,0.01017635,0.0100649,0.01000425,0.01000425,0.01000425
3,21412,1412,0.0,0.0,0.01006495,0.0100043,0.0100043,0.0100043
3,21491,1491,0.010816275,0.0,0.0100652,0.01000455,0.01000455,0.010004525
3,21537,1537,0.0,0.0,0.010065325,0.010004675,0.010004675,0.010004675
3,21544,1544,0.0104438,0.01017545,0.01006535,0.0100047,0.0100047,0.0100047
3,21556,1556,0.0,0.0,0.0100654,0.010004725,0.010004725,0.010004725
3,21635,1635,0.010319875,0.0,0.010065625,0.010004975,0.010004975,0.010004975
3,21681,1681,0.0,0.0,0.010065775,0.010005125,0.010005125,0.010005125
3,21688,1688,0.01044465,0.010693375,0.010065775,0.010005125,0.010005125,0.010005125
3,21700,1700,0.01081755,0.0,0.010065825,0.010005175,0.010005175,0.010005175
3,21779,1779,0.01032075,0.0,0.010066075,0.0100054,0.0100054,0.0100054
3,21825,1825,0.0,0.0,0.0100662,0.01000555,0.01000555,0.01000555
3,21832,1832,0.010445525,0.010115775,0.010066225,0.010005575,0.010005575,0.010005575
3,21844,1844,0.010321125,0.0,0.01006625,0.0100056,0.0100056,0.0100056
3,21923,1923,0.010321625,0.0101731,0.0100665,0.01000585,0.01000585,0.01000585
3,20195,195,0.0,0.0,0.01006125,0.0100006,0.0100006,0.0100006
3,21969,1969,0.0,0.0,0.01006665,0.010006,0.010006,0.010006
3,21976,1976,0.010446425,0.010819475,0.01006665,0.010006,0.010006,0.010006
3,21988,1988,0.010322,0.0,0.0100667,0.01000605,0.01000605,0.01000605
3,22067,2067,0.01044685,0.0101722,0.010066925,0.010006275,0.010006275,0.010006275
3,22113,2113,0.0,0.01032265,0.010067075,0.010006425,0.010006425,0.010006425
3,22120,2120,0.0104473,0.01012835,0.0100671,0.01000645,0.01000645,0.01000645
3,22132,2132,0.010447225,0.0101718,0.010067125,0.010006475,0.010006475,0.010006475
3,22211,2211,0.010447725,0.0101713,0.010067375,0.010006725,0.010006725,0.010006725
3,22257,2257,0.0,0.010323525,0.010067525,0.010006875,0.010006875,0.01000685
3,22264,2264,0.010448175,0.010128775,0.010067525,0.010006875,0.010006875,0.010006875
3,22276,2276,0.0104481,0.0101709,0.010067575,0.010006925,0.010006925,0.010006925
3,22355,2355,0.0104486,0.010170425,0.0100678,0.01000715,0.01000715,0.01000715
3,22401,2401,0.0,0.0,0.01006795,0.0100073,0.0100073,0.0100073
3,22408,2408,0.01044905,0.0101292,0.010067975,0.010007325,0.010007325,0.010007325
3,20241,241,0.0,0.0,0.0100614,0.01000075,0.01000075,0.01000075
3,22420,2420,0.010449,0.010170025,0.010068,0.01000735,0.01000735,0.01000735
3,20248,248,0.0,0.0,0.010061425,0.010000775,0.010000775,0.010000775
3,22499,2499,0.010449475,0.010325175,0.01006825,0.0100076,0.0100076,0.0100076
3,22545,2545,0.0,0.0103253,0.0100684,0.01000775,0.01000775,0.010007725
3,22552,2552,0.010449925,0.0101296,0.0100684,0.01000775,0.01000775,0.01000775
3,22564,2564,0.010449875,0.010822875,0.01006845,0.0100078,0.0100078,0.0100078
3,20260,260,0.0,0.0,0.01006145,0.0100008,0.0100008,0.0100008
3,22643,2643,0.01045035,0.01032605,0.010068675,0.010008025,0.010008025,0.010008025
3,22689,2689,0.0,0.010326175,0.010068825,0.010008175,0.010008175,0.010008175
3,22696,2696,0.010450825,0.010130025,0.01006885,0.0100082,0.0100082,0.0100082
3,22708,2708,0.01045075,0.01032645,0.010068875,0.010008225,0.010008225,0.010008225
3,22787,2787,0.010451225,0.01032695,0.010069125,0.010008475,0.010008475,0.010008475
3,22833,2833,0.0,0.010327075,0.010069275,0.0100086,0.0100086,0.0100086
